id,attendance_session_id,student_id,status,marked_at,marked_by,notes,created_at,updated_at,method
1,2,1,present,2025-11-01 18:51:23,teacher,,2025-11-01 18:51:24,2025-11-01 18:51:24,manual
2,5,6,present,2025-11-01 20:46:43,teacher,,2025-11-01 20:46:43,2025-11-01 20:46:43,manual
3,7,6,present,2025-11-01 20:56:49,teacher,,2025-11-01 20:56:49,2025-11-01 20:56:49,manual
4,7,3,present,2025-11-01 20:57:15,teacher,,2025-11-01 20:57:15,2025-11-01 20:57:15,manual
5,8,6,present,2025-11-02 05:30:11,teacher,,2025-11-02 05:30:11,2025-11-02 05:30:11,manual
6,8,1,late,2025-11-02 05:30:55,teacher,,2025-11-02 05:30:56,2025-11-02 05:30:56,manual
9,6,6,present,2025-11-02 09:47:13,teacher,,2025-11-02 09:47:13,2025-11-02 09:47:13,manual
10,6,9,present,2025-11-02 09:47:49,teacher,,2025-11-02 09:47:50,2025-11-02 09:47:50,manual
11,10,7,present,2025-11-03 15:35:06,teacher,,2025-11-03 15:35:06,2025-11-03 15:35:06,manual
12,10,6,present,2025-11-04 08:11:42,teacher,,2025-11-04 08:11:42,2025-11-04 08:11:42,manual
15,13,12,present,2025-11-05 15:24:09,teacher,,2025-11-05 15:24:09,2025-11-05 15:24:09,manual
16,13,13,present,2025-11-05 15:24:25,teacher,,2025-11-05 15:24:25,2025-11-05 15:24:25,manual
17,13,14,present,2025-11-05 15:24:40,teacher,,2025-11-05 15:24:40,2025-11-05 15:24:40,manual
18,13,15,present,2025-11-05 15:24:44,teacher,,2025-11-05 15:24:44,2025-11-05 15:24:44,manual
19,13,16,present,2025-11-05 15:24:56,teacher,,2025-11-05 15:24:56,2025-11-05 15:24:56,manual
20,13,17,present,2025-11-05 15:25:01,teacher,,2025-11-05 15:25:01,2025-11-05 15:25:01,manual
21,13,18,present,2025-11-05 15:25:13,teacher,,2025-11-05 15:25:13,2025-11-05 15:25:13,manual
22,14,1,present,2025-11-05 15:46:39,teacher,,2025-11-05 15:46:39,2025-11-05 15:46:39,manual
23,14,12,present,2025-11-05 15:53:34,teacher,,2025-11-05 15:53:34,2025-11-05 15:53:34,manual
24,14,13,present,2025-11-05 15:53:38,teacher,,2025-11-05 15:53:38,2025-11-05 15:53:38,manual
25,14,15,present,2025-11-05 15:53:45,teacher,,2025-11-05 15:53:45,2025-11-05 15:53:45,manual
26,14,16,present,2025-11-05 15:53:54,teacher,,2025-11-05 15:53:54,2025-11-05 15:53:54,manual
27,14,18,present,2025-11-05 15:54:38,teacher,,2025-11-05 15:54:38,2025-11-05 15:54:38,manual
28,14,17,present,2025-11-05 15:57:11,teacher,,2025-11-05 15:57:11,2025-11-05 15:57:11,manual
29,14,14,present,2025-11-05 16:03:34,teacher,,2025-11-05 16:03:34,2025-11-05 16:03:34,manual
30,15,1,present,2025-11-05 16:48:10,teacher,,2025-11-05 16:48:10,2025-11-05 16:48:10,manual
31,15,12,present,2025-11-05 16:48:17,teacher,,2025-11-05 16:48:17,2025-11-05 16:48:17,manual
32,15,13,present,2025-11-05 16:48:20,teacher,,2025-11-05 16:48:20,2025-11-05 16:48:20,manual
33,16,1,present,2025-11-06 03:22:02,teacher,,2025-11-06 03:22:02,2025-11-06 03:22:02,manual
34,16,12,present,2025-11-06 03:22:21,teacher,,2025-11-06 03:22:21,2025-11-06 03:22:21,manual
35,16,13,present,2025-11-06 03:22:24,teacher,,2025-11-06 03:22:24,2025-11-06 03:22:24,manual
36,16,15,present,2025-11-06 03:22:49,teacher,,2025-11-06 03:22:49,2025-11-06 03:22:49,manual
37,16,14,present,2025-11-06 03:22:52,teacher,,2025-11-06 03:22:52,2025-11-06 03:22:52,manual
38,16,17,present,2025-11-06 03:22:59,teacher,,2025-11-06 03:22:59,2025-11-06 03:22:59,manual
39,16,18,present,2025-11-06 03:23:11,teacher,,2025-11-06 03:23:11,2025-11-06 03:23:11,manual
40,16,19,excused,2025-11-06 03:27:22,teacher,,2025-11-06 03:27:22,2025-11-06 03:51:06,manual
41,17,1,excused,2025-11-06 04:10:28,teacher,,2025-11-06 04:10:28,2025-11-06 04:12:43,manual
42,17,12,present,2025-11-06 04:10:40,teacher,,2025-11-06 04:10:40,2025-11-06 04:10:40,manual
43,17,14,present,2025-11-06 04:10:47,teacher,,2025-11-06 04:10:47,2025-11-06 04:10:47,manual
44,17,13,present,2025-11-06 04:10:52,teacher,,2025-11-06 04:10:52,2025-11-06 04:10:52,manual
45,17,15,present,2025-11-06 04:10:56,teacher,,2025-11-06 04:10:56,2025-11-06 04:10:56,manual
46,17,16,present,2025-11-06 04:11:00,teacher,,2025-11-06 04:11:00,2025-11-06 04:11:00,manual
47,17,17,present,2025-11-06 04:11:04,teacher,,2025-11-06 04:11:04,2025-11-06 04:11:04,manual
48,17,18,present,2025-11-06 04:11:08,teacher,,2025-11-06 04:11:08,2025-11-06 04:11:08,manual
49,18,6,present,2025-11-06 06:28:47,teacher,,2025-11-06 06:28:47,2025-11-06 06:28:47,manual
50,18,8,late,2025-11-06 06:29:27,teacher,,2025-11-06 06:29:27,2025-11-06 06:29:27,manual
51,18,1,present,2025-11-06 06:29:54,teacher,,2025-11-06 06:29:54,2025-11-06 06:29:54,manual
52,9,1,present,2025-11-06 15:57:19,student,Self Check-in via Name+Course QR,2025-11-06 15:57:19,2025-11-06 15:57:19,manual
53,11,18,present,2025-11-06 16:10:47,student,Self Check-in via Name+Course QR,2025-11-06 16:10:47,2025-11-06 16:10:47,manual
54,11,13,present,2025-11-06 16:18:08,student,Self Check-in via Name+Course QR,2025-11-06 16:18:08,2025-11-06 16:18:08,manual
58,19,13,present,2025-11-06 16:29:31,student,Self Check-in via Name+Course QR,2025-11-06 16:29:31,2025-11-06 16:29:31,manual
59,24,13,present,2025-11-06 16:37:34,student,Self Check-in via Name+Course QR,2025-11-06 16:37:34,2025-11-06 16:37:34,manual
60,9,15,present,2025-11-07 00:27:57,student,Self Check-in via Name+Course QR,2025-11-07 00:27:57,2025-11-07 00:27:57,manual
61,19,15,present,2025-11-07 00:28:46,student,Self Check-in via Name+Course QR,2025-11-07 00:28:46,2025-11-07 00:28:46,manual
62,25,15,present,2025-11-07 00:32:21,student,Self Check-in via Name+Course QR,2025-11-07 00:32:21,2025-11-07 00:32:21,manual
68,25,1,present,2025-11-07 00:45:19,teacher,,2025-11-07 00:45:19,2025-11-07 00:45:19,manual
70,9,13,present,2025-11-07 00:47:12,student,Self Check-in via Name+Course QR,2025-11-07 00:47:12,2025-11-07 00:47:12,manual
71,11,1,present,2025-11-07 00:50:14,student,Self Check-in via Name+Course QR,2025-11-07 00:50:14,2025-11-07 00:50:14,manual
72,12,1,present,2025-11-07 01:02:15,student,Self Check-in via Name+Course QR,2025-11-07 01:02:15,2025-11-07 01:02:15,manual
73,13,1,present,2025-11-07 01:08:07,student,Self Check-in via Name+Course QR,2025-11-07 01:08:07,2025-11-07 01:08:07,manual
74,14,6,present,2025-11-07 01:11:47,student,Self Check-in via Name+Course QR,2025-11-07 01:11:47,2025-11-07 01:11:47,manual
75,27,1,present,2025-11-07 01:12:21,student,Self Check-in via Name+Course QR,2025-11-07 01:12:21,2025-11-07 01:12:21,manual
76,28,1,present,2025-11-07 01:15:31,student,Self Check-in via Name+Course QR,2025-11-07 01:15:31,2025-11-07 01:15:31,manual
78,27,13,present,2025-11-07 01:25:35,student,Self Check-in via Name+Course QR,2025-11-07 01:25:35,2025-11-07 01:25:35,manual
79,27,12,present,2025-11-07 02:23:06,student,Self Check-in via Name+Course QR,2025-11-07 02:23:06,2025-11-07 02:23:06,manual
80,28,13,present,2025-11-07 02:24:59,student,Self Check-in via Name+Course QR,2025-11-07 02:24:59,2025-11-07 02:24:59,manual
81,29,1,present,2025-11-07 03:57:20,teacher,,2025-11-07 03:57:20,2025-11-07 03:57:20,manual
82,29,12,present,2025-11-07 03:57:26,teacher,,2025-11-07 03:57:26,2025-11-07 03:57:26,manual
83,29,13,present,2025-11-07 03:57:30,teacher,,2025-11-07 03:57:30,2025-11-07 03:57:30,manual
84,29,6,present,2025-11-07 03:57:43,teacher,,2025-11-07 03:57:43,2025-11-07 03:57:43,manual
85,30,12,present,2025-11-18 03:54:44,teacher,,2025-11-18 03:54:44,2025-11-18 03:54:44,manual
86,30,13,present,2025-11-18 03:54:54,teacher,,2025-11-18 03:54:54,2025-11-18 03:54:54,manual
87,30,15,present,2025-11-18 03:55:01,teacher,,2025-11-18 03:55:01,2025-11-18 03:55:01,manual