id,class_model_id,student_id,status,enrolled_at,created_at,updated_at
1,13,1,enrolled,2025-11-01 18:10:38,2025-11-01 18:10:38,2025-11-01 18:10:38
2,13,8,enrolled,2025-11-01 18:10:55,2025-11-01 18:10:55,2025-11-01 18:10:55
3,8,4,enrolled,2025-11-01 18:45:46,2025-11-01 18:45:46,2025-11-01 18:45:46
4,8,3,enrolled,2025-11-01 18:46:06,2025-11-01 18:46:06,2025-11-01 18:46:06
5,8,5,enrolled,2025-11-01 18:46:25,2025-11-01 18:46:25,2025-11-01 18:46:25
6,13,6,enrolled,2025-11-01 18:50:25,2025-11-01 18:50:25,2025-11-01 18:50:25
7,14,6,enrolled,2025-11-01 19:58:27,2025-11-01 19:58:27,2025-11-01 19:58:27
8,8,6,enrolled,2025-11-01 20:32:52,2025-11-01 20:32:52,2025-11-01 20:32:52
9,2,6,enrolled,,2025-11-01 20:49:28,2025-11-01 20:49:28
10,14,7,enrolled,2025-11-02 05:26:05,2025-11-02 05:26:05,2025-11-02 05:26:05
11,2,9,enrolled,2025-11-02 09:43:38,2025-11-02 09:43:38,2025-11-02 09:43:38
12,15,1,enrolled,2025-11-02 13:42:52,2025-11-02 13:42:52,2025-11-02 13:42:52
13,16,6,enrolled,2025-11-05 13:05:53,2025-11-05 13:05:53,2025-11-05 13:05:53
14,16,1,enrolled,2025-11-05 13:06:55,2025-11-05 13:06:55,2025-11-05 13:06:55
15,16,7,enrolled,2025-11-05 13:07:47,2025-11-05 13:07:47,2025-11-05 13:07:47
16,16,8,enrolled,2025-11-05 13:08:33,2025-11-05 13:08:33,2025-11-05 13:08:33
17,16,9,enrolled,2025-11-05 13:08:34,2025-11-05 13:08:34,2025-11-05 13:08:34
18,16,18,enrolled,2025-11-05 15:12:17,2025-11-05 15:12:17,2025-11-05 15:12:17
19,16,12,enrolled,2025-11-05 15:13:48,2025-11-05 15:13:48,2025-11-05 15:13:48
20,16,17,enrolled,2025-11-05 15:13:49,2025-11-05 15:13:49,2025-11-05 15:13:49
21,16,13,enrolled,2025-11-05 15:13:49,2025-11-05 15:13:49,2025-11-05 15:13:49
22,16,14,enrolled,2025-11-05 15:13:49,2025-11-05 15:13:49,2025-11-05 15:13:49
23,16,15,enrolled,2025-11-05 15:13:49,2025-11-05 15:13:49,2025-11-05 15:13:49
24,16,16,enrolled,2025-11-05 15:13:50,2025-11-05 15:13:50,2025-11-05 15:13:50
25,8,12,enrolled,2025-11-05 16:47:19,2025-11-05 16:47:19,2025-11-05 16:47:19
26,8,13,enrolled,2025-11-05 16:47:19,2025-11-05 16:47:19,2025-11-05 16:47:19
27,8,1,enrolled,2025-11-05 16:47:19,2025-11-05 16:47:19,2025-11-05 16:47:19
28,16,19,enrolled,2025-11-06 03:21:17,2025-11-06 03:21:17,2025-11-06 03:21:17
29,17,20,enrolled,2025-11-06 09:00:13,2025-11-06 09:00:13,2025-11-06 09:00:13
30,15,12,enrolled,2025-11-06 15:55:56,2025-11-06 15:55:56,2025-11-06 15:55:56
31,15,13,enrolled,2025-11-06 16:20:01,2025-11-06 16:20:01,2025-11-06 16:20:01
32,15,15,enrolled,2025-11-07 00:26:58,2025-11-07 00:26:58,2025-11-07 00:26:58
33,14,1,enrolled,2025-11-07 01:10:53,2025-11-07 01:10:53,2025-11-07 01:10:53
34,14,13,enrolled,2025-11-07 01:10:53,2025-11-07 01:10:53,2025-11-07 01:10:53
35,14,12,enrolled,2025-11-07 02:18:34,2025-11-07 02:18:34,2025-11-07 02:18:34
36,18,1,enrolled,2025-11-07 03:55:56,2025-11-07 03:55:56,2025-11-07 03:55:56
37,18,13,enrolled,2025-11-07 03:56:25,2025-11-07 03:56:25,2025-11-07 03:56:25
38,18,12,enrolled,2025-11-07 03:56:25,2025-11-07 03:56:25,2025-11-07 03:56:25
39,18,6,enrolled,2025-11-07 03:56:25,2025-11-07 03:56:25,2025-11-07 03:56:25
41,20,12,enrolled,,2025-11-20 15:23:22,2025-11-20 15:23:22
42,21,12,enrolled,,2025-11-20 15:23:22,2025-11-20 15:23:22